gene
Ttr (ENSMUSG00000061808)
Slc5a5 (ENSMUSG00000000792)
Cdh24 (ENSMUSG00000059674)
Pvalb (ENSMUSG00000005716)
Zfhx3 (ENSMUSG00000038872)
S100b (ENSMUSG00000033208)
Nxph3 (ENSMUSG00000046719)
Dpysl5 (ENSMUSG00000029168)
Bcl11b (ENSMUSG00000048251)
Chrna4 (ENSMUSG00000027577)
Fgfr1 (ENSMUSG00000031565)
Syt6 (ENSMUSG00000027849)
Tmem74 (ENSMUSG00000054409)
Wnt7b (ENSMUSG00000022382)
Tns1 (ENSMUSG00000055322)
Grik3 (ENSMUSG00000001985)
Nrip3 (ENSMUSG00000034825)
Tox (ENSMUSG00000041272)
Sulf2 (ENSMUSG00000006800)
Col6a1 (ENSMUSG00000001119)
Gm13205 (ENSMUSG00000086606)
Slc6a7 (ENSMUSG00000052026)
N4bp3 (ENSMUSG00000001053)
Onecut2 (ENSMUSG00000045991)
Lbh (ENSMUSG00000024063)
Ano4 (ENSMUSG00000035189)
Hs3st2 (ENSMUSG00000046321)
Rasgrp2 (ENSMUSG00000032946)
Rab34 (ENSMUSG00000002059)
Limk1 (ENSMUSG00000029674)
Sdk2 (ENSMUSG00000041592)
Casz1 (ENSMUSG00000028977)
Tbkbp1 (ENSMUSG00000038517)
Rara (ENSMUSG00000037992)
Cyp4f13 (ENSMUSG00000024055)
Gpc1 (ENSMUSG00000034220)
Foxn3 (ENSMUSG00000033713)
Stard9 (ENSMUSG00000033705)
Myadml2 (ENSMUSG00000025141)
Gpr3 (ENSMUSG00000049649)
Flna (ENSMUSG00000031328)
Il11ra1 (ENSMUSG00000073889)
Gad1 (ENSMUSG00000070880)
Grip2 (ENSMUSG00000030098)
Rsph10b (ENSMUSG00000075569)
Pde4a (ENSMUSG00000032177)
Kcna6 (ENSMUSG00000038077)
Nefh (ENSMUSG00000020396)
Klhl25 (ENSMUSG00000055652)
Stac2 (ENSMUSG00000017400)
Ikbip (ENSMUSG00000019975)
Tmem65 (ENSMUSG00000062373)
Lactb (ENSMUSG00000032370)
Apoo (ENSMUSG00000079508)
Exosc9 (ENSMUSG00000027714)
Slc35b3 (ENSMUSG00000021432)
Trim13 (ENSMUSG00000035235)
Aqp11 (ENSMUSG00000042797)
Tpst1 (ENSMUSG00000034118)
Hacd1 (ENSMUSG00000063275)
Ppp2r3c (ENSMUSG00000021022)
Etfa (ENSMUSG00000032314)
Ctnnbl1 (ENSMUSG00000027649)
Armc2 (ENSMUSG00000071324)
Npy1r (ENSMUSG00000036437)
Psenen (ENSMUSG00000036835)
BC002059 (ENSMUSG00000060149)
Thg1l (ENSMUSG00000011254)
Sphkap (ENSMUSG00000026163)
Lap3 (ENSMUSG00000039682)
Sirt1 (ENSMUSG00000020063)
Pdp1 (ENSMUSG00000049225)
Med27 (ENSMUSG00000026799)
Sec13 (ENSMUSG00000030298)
Haus3 (ENSMUSG00000079555)
Ddx18 (ENSMUSG00000001674)
Cmtm6 (ENSMUSG00000032434)
Tut1 (ENSMUSG00000071645)
Hat1 (ENSMUSG00000027018)
Pmpcb (ENSMUSG00000029017)
Kcnip2 (ENSMUSG00000025221)
Krtcap2 (ENSMUSG00000042747)
Ifnar2 (ENSMUSG00000022971)
Tram1l1 (ENSMUSG00000044528)
Asb3 (ENSMUSG00000020305)
Rbm12b1 (ENSMUSG00000046667)
Fbxo34 (ENSMUSG00000037536)
Gstm5 (ENSMUSG00000004032)
Tefm (ENSMUSG00000046909)
Fam151b (ENSMUSG00000034334)
Asah1 (ENSMUSG00000031591)
Dhx40 (ENSMUSG00000018425)
Rybp (ENSMUSG00000072872)
Dtwd1 (ENSMUSG00000023330)
Lrrc6 (ENSMUSG00000022375)
Irs2 (ENSMUSG00000038894)
Eogt (ENSMUSG00000035245)
Gpr19 (ENSMUSG00000032641)
Dpy19l4 (ENSMUSG00000045205)
Acvr2a (ENSMUSG00000052155)
