gene
Cacng7 (ENSMUSG00000069806)
Col16a1 (ENSMUSG00000040690)
March4 (ENSMUSG00000039372)
Cartpt (ENSMUSG00000021647)
Efcab12 (ENSMUSG00000030321)
Nov (ENSMUSG00000037362)
Hcrtr1 (ENSMUSG00000028778)
Slc26a6 (ENSMUSG00000023259)
Cd4 (ENSMUSG00000023274)
P4hb (ENSMUSG00000025130)
Id1 (ENSMUSG00000042745)
Slc27a1 (ENSMUSG00000031808)
Gm5602 (ENSMUSG00000086108)
Epas1 (ENSMUSG00000024140)
Art3 (ENSMUSG00000034842)
Gm26710 (ENSMUSG00000097013)
Mrc2 (ENSMUSG00000020695)
Cyp4f18 (ENSMUSG00000003484)
Slc41a3 (ENSMUSG00000030089)
Pld5 (ENSMUSG00000055214)
Ccna1 (ENSMUSG00000027793)
Vtn (ENSMUSG00000017344)
Dynlt1b (ENSMUSG00000096255)
Eya4 (ENSMUSG00000010461)
Adra1a (ENSMUSG00000045875)
Gm14597 (ENSMUSG00000079593)
Fbln1 (ENSMUSG00000006369)
Kifc1 (ENSMUSG00000079553)
Gm26894 (ENSMUSG00000097453)
Sod3 (ENSMUSG00000072941)
Tns2 (ENSMUSG00000037003)
Hapln2 (ENSMUSG00000004894)
Ss18l1 (ENSMUSG00000039086)
Pcdhb5 (ENSMUSG00000063687)
Slc6a20a (ENSMUSG00000036814)
Dlx1 (ENSMUSG00000041911)
Vwc2 (ENSMUSG00000050830)
Atp13a5 (ENSMUSG00000048939)
Angptl2 (ENSMUSG00000004105)
Nudt1 (ENSMUSG00000036639)
1700024B18Rik (ENSMUSG00000099994)
Dlx6 (ENSMUSG00000029754)
Cd59a (ENSMUSG00000032679)
Oma1 (ENSMUSG00000035069)
Ccdc141 (ENSMUSG00000044033)
Ptger1 (ENSMUSG00000019464)
Hspa1b (ENSMUSG00000090877)
4930404N11Rik (ENSMUSG00000020234)
Pdgfrb (ENSMUSG00000024620)
Cstf2t (ENSMUSG00000053536)
Dusp10 (ENSMUSG00000039384)
Adamts15 (ENSMUSG00000033453)
Gm37637 (ENSMUSG00000102861)
Sgpl1 (ENSMUSG00000020097)
Zscan2 (ENSMUSG00000038797)
Jak2 (ENSMUSG00000024789)
Kcnmb2 (ENSMUSG00000037610)
Lama5 (ENSMUSG00000015647)
Slc4a2 (ENSMUSG00000028962)
Dlx5 (ENSMUSG00000029755)
Lbr (ENSMUSG00000004880)
Ets2 (ENSMUSG00000022895)
Arx (ENSMUSG00000035277)
Rbm12 (ENSMUSG00000089824)
Pcdhb21 (ENSMUSG00000044022)
Tnpo1 (ENSMUSG00000009470)
Rasd1 (ENSMUSG00000049892)
Dlx6os1 (ENSMUSG00000090063)
Arsk (ENSMUSG00000021592)
Topors (ENSMUSG00000036822)
Tmtc4 (ENSMUSG00000041594)
Adamtsl5 (ENSMUSG00000043822)
Fign (ENSMUSG00000075324)
Zbtb2 (ENSMUSG00000075327)
Epg5 (ENSMUSG00000039840)
Nutf2 (ENSMUSG00000008450)
Tango6 (ENSMUSG00000041949)
Znrf2 (ENSMUSG00000058446)
Ssfa2 (ENSMUSG00000027007)
Fgd4 (ENSMUSG00000022788)
Zfp28 (ENSMUSG00000062861)
Atxn7 (ENSMUSG00000021738)
Zfp711 (ENSMUSG00000025529)
Ndrg1 (ENSMUSG00000005125)
Uvssa (ENSMUSG00000037355)
Mpp5 (ENSMUSG00000021112)
Zfp40 (ENSMUSG00000002617)
2610021A01Rik (ENSMUSG00000091474)
Zbtb6 (ENSMUSG00000066798)
Zfp160 (ENSMUSG00000067942)
Pop1 (ENSMUSG00000022325)
Socs4 (ENSMUSG00000048379)
Irs1 (ENSMUSG00000055980)
Brwd3 (ENSMUSG00000063663)
Rif1 (ENSMUSG00000036202)
Edem3 (ENSMUSG00000043019)
Pcnx (ENSMUSG00000021140)
Btaf1 (ENSMUSG00000040565)
Zfp81 (ENSMUSG00000003929)
Gm10600 (ENSMUSG00000083929)
